url,title,rating,boxOffice,criticsScore,audienceScore,Action,Adventure,Animation,Anime,Biography,Comedy,Crime,Documentary,Drama,Fantasy,LGBTQ+,History,Holiday,Horror,Kids & Family,Music,Musical,Mystery & Thriller,Romance,Sci-Fi,Sports,Stand-Up,War,Western,Entertainment,Faith & Spirituality,Game Show,Health & Wellness,House & Garden,Nature,News,Reality,Short,Soap,Special Interest,Talk Show,Travel,Variety
https://www.rottentomatoes.com/m/play_dirty_2025_2,Play Dirty,R,0,0.8,0.68,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/vicious_2025,Vicious,R,0,0.94,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_fantastic_four_first_steps,The Fantastic Four: First Steps,PG-13,274300000,0.51,0.91,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_naked_gun_2025,The Naked Gun,PG-13,52600000,0.85,0.87,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_strangers_chapter_2,The Strangers: Chapter 2,R,14600000,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/companion_2025,Companion,R,20800000,0.95,0.73,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/steve_2025,Steve,R,0,0.93,0.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/materialists,Materialists,R,0,0.8,0.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/lurker,Lurker,R,631600,0.84,0.46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/black_bag,Black Bag,R,21500000,0.83,0.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
